"app_id","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_03","I_04","ER_01","ER_02","I_05","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
8,"1","JUL2005",1,"SL",25,4,"R",17.07,1.4,10.12,3.24,14.49,0.0437840207,40.359375,1.1,0,206.67,"5",2.08
16,"1","JUL2005",160,"SO",18,0.84,"P",25.49,1.19,19,8.738,13,0,95.125,1.04,0,8.0199999999999,"5",3.09
2,"1","JUL2005",400,"SO",22,3.81,"P",33,1.41,23,4,12,0.0497738554,66.875,1,0,754.185,"5",2
6,"1","JUL2005",0,"SO",16,0.5225,"P",16.505,1.02,13,0.36,31,0,46.1953125,1.12,0,0.239999999999872,"5",2.63
20,"0","JUL2005",0,"SD",19,0,"P",3,2,12.355,3.45,16.8733333333333,0.0183322951,9.40625,1,1,0,"3",4
25,"1","JUL2005",0,"SM",26,1.47,"H",15,1,9.23,0,15.86,0,59.4357194010417,1.12,0,0,"3",2.19323529411765
41,"0","JUL2005",0,"SO",22,0,"P",17.3844,1.29,12.0633333333333,2.82,17.0625,0,57.897734375,1.13,0,-1.08855147118447e-13,"4",2.27
29,"1","JUL2005",0,"SO",16,0.61,"P",17.4133333333333,1,3,1.270625,3,0,51.2734375,1.12,0,0.599999999999903,"5",2.42
43,"0","JUL2005",420,"SO",21,1,"R",18,2,11,2.85,15,0.0473788973,38.234375,1.08,0,0,"3",2
38,"1","JUL2005",1,"SO",21,1.14,"R",16.41,1.09,7.35,1.29,10.76,0,40.21875,1.05,0,10.1699999999999,"5",2.305
26,"0","JUL2005",700,"SN",21,1.28,"R",4,1.19,11.35,0,25.284,0.031742534,70.828125,1.29,0,18.7499999999999,"5",2.2
34,"0","JUL2005",0,"SD",20,1,"P",22,1,5.175,2.64,3,0.325250065,31.40625,2,0,0,"3",0
31,"0","JUL2005",0,"SC",21,1,"P",11,1.26,4,5,17,0.2441240083,55.71875,1.18,0,45.8,"5",4
65,"1","JUL2005",1000,"SE",22,1.81,"R",16.86,1.38,9.08,2.5,14.52,0,49.240190429688,1.16,0,164.93,"4",1.65
86,"1","JUL2005",1,"SF",22,0,"P",17,1.23,3,4,10,0.1748244725,67.03125,1.11,0,9.8499999999999,"5",2.47
53,"0","JUL2005",0,"FT",22,1.06,"R",19.875,1.07,7.66,1.42,12.62,0.0791726275,48.58177734375,1.17,0,18.8699999999999,"5",2.295
85,"0","JUL2005",0,"SL",19,1,"P",1,1,11,0,7,0.1267379709,68.09375,1.16142857142857,0,0,"3",2.22823529411765
62,"1","JUL2005",1,"SO",18,0.6125,"P",10.38,1,11,0,23,0.1678808331,58.375,1.08,0,5.44999999999987,"5",2.95
45,"1","JUL2005",1,"SC",23,6,"R",30,1,9.77266666666667,0,19.3833333333333,0.0776888279,68.328125,1,0,0,"3",0
64,"1","JUL2005",0,"SO",23,4,"R",8,1.12,10.625,2,15.72,0,59.84375,1.08,0,385.21,"5",3
61,"1","JUL2005",0,"SG",20,2,"P",6,1,11,2.13,63,0.0065730454,63.9296875,1,1,354,"3",2
70,"0","JUL2005",0,"SO",30,1.26,"P",14,1,24,11,37,0.0527717074,78.921875,1.18,0,0,"3",2.63
106,"1","JUL2005",1,"SL",22,0,"P",19,1,19,6,93,0.1978847003,49.640625,1.29,0,0,"3",2.545
111,"0","JUL2005",1,"SD",29,1,"H",83,2,9.515,0,19.64,0.3677603146,63.859375,1.102,0,0,"3",2.24
