"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"3","0","JUL2005",0,"SO",20,1,"P",1,929.333333333333,5,2,0,11,1,10,292.8,0.0236846933,56.6484375,1,2,647,"3",3
"7","1","JUL2005",1,"SL",25,4,"R",1.1,981.333333333333,24.64,1.12666666666667,8.52,2.3,1.15333333333333,6.6,647.296666666667,0.0437840207,40.359375,1.04,0,83.9966666666665,"5",2.32
"8","0","JUL2005",0,"SA",19,0,"P",1,950,2,1,0,0,1.27333333333333,11.7133333333333,355.92,0.1896084142,51.75,1.12666666666667,0,0,"3",3
"9","1","JUL2005",160,"SO",18,0.5,"P",1.12666666666667,715,30.86,1.03333333333333,12.2,19,0.26,13,393.835833333333,0,95.125,1.04,0,-5.35275527605942e-13,"5",2.60666666666667
"11","0","JUL2005",400,"SN",20,0,"P",1.12666666666667,950,10,2,69,6,3,17,411.466666666667,0.2584823109,47.71875,1,1,0,"3",2
"12","1","JUL2005",400,"SO",22,2.62,"P",1.10666666666667,694.666666666667,33,1.22,14.6,23,4,12,336.813333333333,0.0497738554,66.875,1,0,313.24,"5",2
"13","1","JUL2005",0,"SO",16,0.31,"P",1.13333333333333,235.666666666667,16.0173737373737,1.02,27.5388888888889,13,0.173333333333333,31,94.77,0,46.1953125,1.03333333333333,0,5.77666666666618,"5",2.23333333333333
"14","0","JUL2005",0,"SD",19,0,"P",1,539.5,3,2,29,10.0366666666667,1.23666666666667,21.1533333333333,179.673333333333,0.0183322951,9.40625,1,1,0,"3",4
"16","1","JUL2005",0,"SM",26,1.9,"H",1.11333333333333,3150,15,1,0,12.5866666666667,0,22.69,186,0,62.89453125,1.07333333333333,0,0,"3",2.26
"17","1","JUL2005",2400,"SC",45,1,"R",1,4354.66666666667,2,2,0,10.5933333333333,7,15.84,1236.44,0.165088444,66.625,1,1,0,"3",1.54666666666667
"18","0","JUL2005",0,"SO",22,0,"P",1.13333333333333,565.333333333333,23.1222222222222,1.18,40,9.78666666666667,2.76,14.04,309.215555555556,0,55.4687760416667,1.03333333333333,0,1.8266666666663,"4",2.63333333333333
"19","1","JUL2005",0,"SO",16,0.35,"P",1.1,228,16.4155555555556,1.02,27.0755555555556,3,0.21,3,123.891388888889,0,51.2734375,1.04,0,4.13999999999949,"5",2.18666666666667
"20","0","JUL2005",0,"SC",21,1,"P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,"3",3
"21","0","JUL2005",0,"SA",20,1,"P",1.26,950,13,2,39,20,1,22,255.921111111111,0.0830125867,74.921875,1,1,0,"3",0
"22","0","JUL2005",420,"SO",21,1,"R",1.32666666666667,250,18,2,74.3444444444444,11,2.21111111111111,15,0,0.0473788973,38.234375,1.12666666666667,0,0,"3",2
"24","1","JUL2005",1,"SO",21,1.57333333333333,"R",1.14,805,17.76,1.08666666666667,6.95333333333333,3.29333333333333,0.886666666666667,7.38666666666667,436.553333333333,0,40.21875,1.03333333333333,0,6.81999999999962,"5",2.77333333333333
"25","0","JUL2005",700,"SN",21,1.04666666666667,"R",1,500,4,1.43333333333333,145.213333333333,10.12,0,23.04,526,0.031742534,70.828125,1.32666666666667,0,94.4199999999998,"5",2.29333333333333
"27","0","JUL2005",0,"SD",20,1,"P",1.47333333333333,585.5,22,1,151.353333333333,5.56666666666667,1.36,3,385.403333333333,0.325250065,31.40625,2,0,0,"3",0
"29","1","JUL2005",0,"SO",22,3,"P",1.21333333333333,950,10,2,0,16,4,16,438.406666666667,0.1443335731,50.1796875,1,2,2119,"3",0
"32","0","JUL2005",0,"SC",21,1,"P",1.32666666666667,871,11,1.78666666666667,297,4,5,17,652.633333333333,0.2441240083,55.71875,1.2,0,62.3999999999998,"5",4
