"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"1","1","JUL2005",0,"SB",19,1,"P",1,500,5,1,8.25333333333333,3,1,13,250,0,62.2071809895833,1.02,0,0,"3",2.28
"2","0","JUL2005",0,"SO",29,2,"R",1,732.333333333333,5,1,89,5.02666666666667,1.15777777777778,11.9933333333333,526.613333333333,0.0075291667,68.859375,1,0,0,"3",1
"4","1","JUL2005",0,"SO",16,0,"P",1.15555555555556,356,32.9454,1.02666666666667,24.34,12.6788888888889,0.26,24.5333333333333,275.903333333333,0.208693366,65.328125,1.05333333333333,0,1.58666666666614,"5",2.22
"5","0","JUL2005",600,"SE",18,0,"P",1.25555555555556,463,11,1,80,10.3866666666667,0,21.3483333333333,445.936666666667,0.5450069867,51.234375,1,1,37,"3",2
"6","1","JUL2005",0,"SF",16,0,"P",1.14888888888889,557.333333333333,27.4,1.08666666666667,18.9155555555556,0,0.626666666666667,2,413.673333333333,0.4294992778,59.4765625,1.04916666666667,0,14.7199999999995,"5",2.42
"10","1","JUL2005",0,"SO",20,1,"P",1.41333333333333,200,24,5,0,12,6,19,565.837777777778,0.2268738379,57.515625,2,4,290,"1",0
"15","0","JUL2005",0,"SE",21,1,"P",1.2,1200,20,2,78.0733333333333,9.94666666666667,3,14.6866666666667,610.096666666667,0.5236931592,42.6796875,1,1,363,"3",0
"23","1","JUL2005",1,"SO",19,2,"P",1,200,2,1,16.1733333333333,2,1,5,76.44,0.0862325833,53.9921875,1.03333333333333,0,0,"3",2.37566666666667
"26","1","JUL2005",500,"SL",25,1.52,"R",1.12666666666667,994.666666666667,19.16,1.12,9.74333333333333,2.71333333333333,0.9,6.48666666666667,603.726666666667,0.0843504141,40.1796875,1.03333333333333,0,29.7466666666664,"5",2.32666666666667
"28","1","JUL2005",0,"SO",19,1,"P",1,756.777777777778,6,3,0,0,3,12.6733333333333,314.157333333333,0.0310821186,66.28125,2,2,0,"3",1
"30","1","JUL2005",380,"SD",16,0.478333333333333,"P",1.16666666666667,812.666666666667,24.94,1.15333333333333,16.84,9.63333333333333,0.726666666666667,15.5033333333333,500.98,0.8561127037,43.3046875,1.04,0,10.7599999999996,"5",2.49333333333333
"31","1","JUL2005",0,"SE",30,0,"P",1.23333333333333,2212,13,3,17.0093333333333,12,6.66333333333333,21,1221.808,1.03741033,56.625,1,0,0,"3",1
"33","1","JUL2005",0,"SA",19,0,"P",1.26333333333333,1450,9,1.41333333333333,25,5,1,7,31,0,86.515625,1,0,224.62,"5",2
"34","1","JUL2005",0,"SA",20,2,"R",1.14,643.666666666667,65,1,11.35,6.21333333333333,1.33333333333333,4,510.513333333333,0.0639001953,52.6953125,1.01333333333333,0,0,"3",2.07333333333333
