"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","NewFeature1","NewFeature2"
"3","0","JUL2005",0,"SO",20,"1","P",1,1007.33333333333,5,2,0,11,1,10,509.933333333333,0.0236846933,56.6484375,1,2,647,"3",3,0.403723952492364,-721.006666666667
"7","1","JUL2005",1,"SL",25,"4","R",0.00666666666664395,760.666666666667,22.9644444444444,1.06666666666667,15.74,1.43333333333333,1.14,5.68,559.08,0.0437840207,40.359375,0,0,25.7333333333327,"5",12,0.515491286989165,-545.52
"8","0","JUL2005",0,"SA",19,"0","P",1,950,2,1,0,0,1.02,9.30666666666667,554.306666666667,0.1896084142,51.75,1.12666666666667,0,0,"3",3,0.492565925903173,-588.786666666667
"9","1","JUL2005",160,"SO",18,"0","P",0.00666666666664161,348.666666666667,18.560119047619,1.04666666666667,5.58,19,0.34,13,482.246666666667,0,95.125,0,0,0.166666666665755,"5",12,0.48819104607719,-334.653333333333
"11","0","JUL2005",400,"SN",20,"0","P",0,950,10,2,69,6,3,17,615.566666666667,0.2584823109,47.71875,1,1,0,"3",2,0.456506472777774,-706.533333333333
"12","1","JUL2005",400,"SO",22,"1","P",0,330.333333333333,33,1.25333333333333,38.56,23,4,12,396.3,0.0497738554,66.875,1,0,70.44,"5",2,0.563556618167024,-252.106666666667
"13","1","JUL2005",0,"SO",16,"0","P",0.0199999999999768,165.333333333333,19.54,1.01333333333333,43.5333333333333,13,0.12,31,213.6,0,46.1953125,0,0,1.53999999999903,"5",12,0.473334222120431,-223.073333333333
"14","0","JUL2005",0,"SD",19,"0","P",1,249.333333333333,3,2,29,10.4233333333333,1.06933333333333,19.9733333333333,201.373333333333,0.0183322951,9.40625,1,1,0,"3",4,0.499251998385963,-304.073333333333
"16","1","JUL2005",0,"SM",26,"1","H",0,3150,15,1,0,14.3644444444444,0,25.2233333333333,186,0,63.6284375,0,0,0,"3",12,0.0590476190476191,-2964
"17","1","JUL2005",2400,"SC",45,"1","R",1,11518.6666666667,2,2,0,15.8866666666667,7,23.4266666666667,4226.74666666667,0.165088444,66.625,1,1,0,"3",2.15333333333333,0.363766471444048,-7170.41
