"","GOOD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","NewFeature1","NewFeature2"
"1","1","JUL2005",0,"SB",19,"1","P",1,500,5,1,26.32,3,1,13,250,0,61.0798828125,0,0,0,"3",12,0.5,-250
"2","0","JUL2005",0,"SO",29,"2","R",1,299,5,1,89,4.21333333333333,1.32666666666667,9.3,521.126666666667,0.0075291667,68.859375,1,0,0,"3",1,0.718880482314203,-165.493333333333
"4","1","JUL2005",0,"SO",16,"0","P",0.0199999999999768,272.777777777778,14.0266666666667,1.04,6.23333333333333,14.3866666666667,0.166666666666667,21.1555555555556,158.686666666667,0.208693366,65.328125,0,0,2.18666666666571,"5",12,0.369745906493366,-267.8
"5","0","JUL2005",600,"SE",18,"0","P",0,185,11,1,80,7.79666666666667,0,13.28,244.506666666667,0.5450069867,51.234375,1,1,37,"3",2,0.548340038697937,-192.093333333333
"6","1","JUL2005",0,"SF",16,"0","P",0.0266666666666423,729.333333333333,23.06,1.08,27.08,0,0.226666666666667,2,437.283888888889,0.4294992778,59.4765625,0,0,4.08666666666588,"5",12,0.471624226772749,-501.46
"10","1","JUL2005",0,"SO",20,"1","P",0,200,24,5,0,12,6,19,693.053333333333,0.2268738379,57.515625,2,4,290,"1",0,0.678107261518303,-381.383333333333
"15","0","JUL2005",0,"SE",21,"1","P",0,1200,20,2,105,10.56,3,12.06,581.62,0.5236931592,42.6796875,1,1,363,"3",0,0.398835603678321,-869.666666666667
"23","1","JUL2005",1,"SO",19,"2","P",1,200,2,1,9.22,2,1,5,155.953333333333,0.0862325833,53.9921875,0,0,0,"3",12,0.432104996299996,-248.066666666667
"26","1","JUL2005",500,"SL",25,"2","R",0.00666666666664444,742.666666666667,21.3333333333333,1.14666666666667,12.24,2.22666666666667,0.953333333333333,6.97,704.4,0.0843504141,40.1796875,0,0,15.2733333333327,"5",12,0.5315084895746,-441.753333333333
"28","1","JUL2005",0,"SO",19,"1","P",1,730,6,3,0,0,3,10.5333333333333,540.04,0.0310821186,66.28125,2,2,0,"3",1,0.496184563824734,-551.166666666667
"30","1","JUL2005",380,"SD",16,"0","P",0.0133333333333097,461,25.7133333333333,1.13333333333333,57.46,9.01333333333333,0.346666666666667,12.2133333333333,328.893333333333,0.8561127037,43.3046875,0,0,4.53333333333254,"5",12,0.550866622558729,-276.913333333333
"31","1","JUL2005",0,"SE",30,"0","P",0,1385,13,3,50.0866666666667,12,5.21333333333333,21,1249.908,1.03741033,56.625,1,0,0,"3",1,0.534070375849002,-891.746666666667
"33","1","JUL2005",0,"SA",19,"0","P",0,1450,9,1.34666666666667,25,5,1,7,31,0,86.515625,1,0,346.746666666667,"5",2,0.0213793103448276,-1419
"34","1","JUL2005",0,"SA",20,"2","R",0,703,65,1,15.9133333333333,6.89,1.55333333333333,4,489.193333333333,0.0639001953,52.6953125,0,0,0,"3",12,0.453298641341988,-752.74
"35","1","JUL2005",260,"SO",19,"0","P",0.0266666666666432,289,12.7666666666667,1.03333333333333,6.2,10,0.8,8,152.06,0,44.4453125,0,0,-9.40758582146373e-13,"5",12,0.351834109112384,-256.053333333333
"36","0","JUL2005",0,"SA",24,"0","R",0,365.666666666667,22,2,132.886666666667,5.66,1,10.0933333333333,449.16,0.0946957718,45.8359375,1,1,0,"2",1.54,0.590566875296782,-273.806666666667
"39","1","JUL2005",1,"SD",19,"0","P",0.0266666666666419,305.666666666667,14.2655555555556,1.11333333333333,4.81666666666667,14.6633333333333,0.98,4,210.046666666667,0,75.859375,0,0,0.393333333332403,"5",12,0.393551807343157,-328.646666666667
"40","0","JUL2005",0,"SO",20,"0","P",0,172.333333333333,19,1,110,6,1,14,251.66,0.0577998961,47.03125,1,0,0,"3",1,0.527702153995954,-174.353333333333
"41","1","JUL2005",0,"SM",19,"0","P",0,300,15,1.23333333333333,5.37333333333333,12,3,27,277.653333333333,0.0482738595,77.671875,0,0,1.70666666666582,"5",12,0.381639776345808,-363
"43","1","JUL2005",1,"SF",20,"1","P",1.14666666666667,550,6,2,0,15,1,27,0,0.113545652,71.828125,1,2,63,"3",2.02,0,-550
"45","1","JUL2005",600,"SC",22,"1","P",-2.42691052439644e-14,439,22.1809523809524,1.28666666666667,33.3133333333333,9.52666666666667,2.47333333333333,12.6333333333333,428.493333333333,0.0453811525,23.234375,1,0,79.16,"5",0,0.56362507492473,-328.386666666667
"46","1","JUL2005",0,"SM",38,"4","H",0,950,18,1,0,4.22666666666667,0,8.16,1080.92666666667,0,57.2683512369793,0,0,0,"3",12,0.557200849195828,-745.893333333333
"48","0","JUL2005",0,"SO",22,"1","P",0,150,14,1,61,14.5866666666667,3.90666666666667,30,0,0,48.7265625,1,1,513,"3",1.83333333333333,0,-150
"50","1","JUL2005",0,"SO",20,"0","P",0,295.333333333333,13,1,34,12,3,53,254.966666666667,0,76.234375,1,0,0,"3",0,0.502659839689409,-269.726666666667
"53","0","JUL2005",800,"SO",23,"0","P",6,1500,5,13,288.106666666667,17,5.48,76,1734.41333333333,0,70.03125,5,8,1454,"3",0,0.480297795029983,-2138.3
"55","0","JUL2005",1,"SB",20,"2","P",0,306,36,1,106.095555555556,12.27,1.99333333333333,25.8833333333333,348.673333333333,0.1601267522,75.828125,2,0,0,"3",0,0.557417863843262,-278.88
"57","1","JUL2005",800,"SH",20,"1","P",0,50,15,1,1,11,1.58666666666667,11,310.006666666667,0,47.0078125,1,1,42,"3",0,0.520243027114204,-344.726666666667
"63","0","JUL2005",0,"SO",19,"0","P",1.02,191,5.15833333333333,1.08666666666667,35.4222222222222,9,2,4,168.13,0.1249696335,72.109375,0,0,1.27999999999905,"5",12,0.490522461231333,-191.136666666667
"65","1","JUL2005",500,"SO",21,"2","R",0.00666666666664377,363,16.8466666666667,1.09333333333333,12.84,4.35333333333333,1.05333333333333,7.9,314.4,0.0121719835,52.2890625,0,0,3.96666666666597,"5",12,0.472620845550415,-367.436666666667
"66","0","JUL2005",120,"SB",19,"0","P",0,274.666666666667,9,2,160.3,13,1.04666666666667,57,268.046666666667,0,34.359375,1,1,0,"1",1.99333333333333,0.48854674183761,-286.9
"69","1","JUL2005",0,"SC",18,"0","P",0,100,9,1,0,16,0,28,192.586666666667,0.2982739927,48.890625,1,1,6,"3",3,0.446574406551351,-291.173333333333
"70","1","JUL2005",0,"SE",18,"0","P",0.00666666666664228,659.666666666667,19.28,1.09333333333333,19.2133333333333,18,0,10,575.106666666667,0,86.953125,0,0,-8.6743057181593e-13,"5",12,0.443274581859172,-489.166666666667
"71","0","JUL2005",400,"SB",18,"0","P",1,238,1,1.22,0,4,0.566666666666667,5,207.126666666667,0.0950659849,35.953125,1,0,8.45999999999992,"5",1,0.49334013554833,-250.463333333333
"72","1","JUL2005",0,"SO",23,"2","P",0,699.666666666667,26,1,9.05333333333333,1,2,6,502.846666666667,0.0755404839,66.71875,1,0,0,"3",1,0.485782221103394,-467.68
"76","1","JUL2005",0,"SE",22,"5","P",2,3900,3,1,0,12,1,1,0,0.0567737137,62.484375,3,0,0,"3",1,0,-3900
"78","0","JUL2005",0,"SA",20,"0","R",2,459.666666666667,3,3,237,7.18666666666667,1.95333333333333,14.58,458.446666666667,0.6159624867,45.1015625,3,3,363,"3",0,0.623216394198551,-233.933333333333
"79","1","JUL2005",0,"SO",16,"0","R",-2.25079214525673e-14,190,23.6093333333333,1.03333333333333,49.73,8.29333333333333,0.266666666666667,12.8304761904762,285.46,0.2745507667,60.7109375,0,0,1.15999999999907,"5",12,0.708222968190088,-131.34
"82","1","JUL2005",0,"SA",20,"2","R",-2.37543318348799e-14,267.333333333333,18.3958333333333,1.04666666666667,13.3733333333333,9.02333333333333,1.21333333333333,13.3966666666667,272.626666666667,0,67.53125,0,0,2.07333333333258,"5",12,0.46428205921265,-339.33
"84","1","JUL2005",1,"SN",34,"0","R",0,4150,13,1,13.38,14.9066666666667,7,15.7133333333333,1577.34666666667,0.1422919775,21.40234375,0,0,0,"3",12,0.313267642678437,-3107.88666666667
"85","1","JUL2005",500,"SO",18,"0","P",1,168,5,1.12,40,10.9266666666667,0.366666666666667,13,140.353333333333,0.1026236699,26.87109375,1,0,19.4533333333333,"5",2,0.47991233641114,-183.373333333333
"90","1","JUL2005",560,"FT",18,"0","P",0.0199999999999758,628.666666666667,25.74,1.06666666666667,35.9133333333333,7.98666666666667,0,2,430.66,0.0034893525,53.578125,0,0,2.80666666666587,"5",12,0.55193059507097,-383.346666666667
"91","0","JUL2005",0,"SA",17,"0","P",0.0133333333333094,172.222222222222,19.2333333333333,1.05333333333333,74.1266666666667,12,0,37,195.793333333333,0.0338882339,73.25,0,0,2.55999999999904,"5",12,0.493849283119626,-172.373333333333
"92","0","JUL2005",0,"SG",32,"0","R",0,435.333333333333,25,1,165,4.74,1.65333333333333,6.84,500.246666666667,0.0863910203,48.390625,1,0,0,"3",1,0.61139646488186,-266.146666666667
"93","0","JUL2005",1,"SH",21,"4","P",0,2400,16,2,97,2,1,3,343,0,71.40625,1,2,2388,"3",0,0.142916666666667,-2057
"94","1","JUL2005",0,"SA",23,"4","R",0.0066666666666439,650.666666666667,20.4266666666667,1.08,12.82,2.78,1.13333333333333,7.02666666666667,544.666666666667,0.1067795982,54.7578125,0,0,24.0333333333327,"5",12,0.482730038950113,-558.36
"95","1","JUL2005",1,"SL",25,"2","R",0.00666666666664406,781.333333333333,20.3044444444444,1.08666666666667,14.66,1.96,1.06,5.12333333333333,708.526666666667,0,43.21875,0,0,13.1133333333327,"5",12,0.512223695489607,-588.6
"96","0","JUL2005",0,"SN",31,"1","R",0,200,12,3,156.126666666667,10.1133333333333,2.85333333333333,19,530.54,0.6877440494,20.9296875,3,1,0,"1",1,0.808286556485806,-121.393333333333
"98","1","JUL2005",820,"SO",32,"1","R",0,1700,7,1,0,10.1,1.91333333333333,12.8933333333333,124,0.1811588686,43.9051953125,1.14,0,0,"3",3,0.0729411764705882,-1576
"99","1","JUL2005",0,"SF",21,"1","P",2,1393,5,2,0,19,3,24,699.96,0.2639586972,43.3046875,3,2,604,"3",0,0.384421214647928,-1046.14
"101","1","JUL2005",1,"SB",21,"0","P",1,500,1,1.65333333333333,50,15,5,7,496,0,63.2265625,2,0,139.733333333333,"5",0,0.992,-4
"103","1","JUL2005",1,"SC",17,"0","P",0.0066666666666427,2510.33333333333,40.6,1.64,54.3933333333333,16.6266666666667,11,20.2,1403.46666666667,0,60.0546875,0,0,50.7199999999994,"5",12,0.439264525567413,-2018.70666666667
"105","1","JUL2005",0,"SA",18,"0","P",1,722,2,3,6.82222222222222,12,0,59,352.313333333333,0.0639404042,48.0234375,1,2,0,"3",1.42666666666667,0.363253081910194,-696.313333333333
"107","1","JUL2005",0,"SM",31,"2","H",0,1450,10,1.47333333333333,0,8.30666666666667,3.12666666666667,1,402,0,83.265625,1,0,557.226666666667,"5",1,0.277241379310345,-1048
"108","1","JUL2005",1,"SK",18,"0","P",0,408.466666666667,33,1,40.52,27,0,8,485.82,0,46.3359375,0,0,0,"3",12,0.603005572222897,-244.82
"109","1","JUL2005",0,"SM",40,"1","H",0,39100,10,1,0,15.86,7,21.28,3596,0.0346307023,48.53125,1,1,1246,"3",4,0.0919693094629156,-35504
"110","1","JUL2005",1,"SO",18,"0","P",0.0133333333333089,263.833333333333,12.18,1.16,6.46666666666667,12.93,0,19.4133333333333,163.9,0,82.015625,1,0,2.8933333333332,"5",0,0.390962459392459,-241.92
"112","1","JUL2005",0,"SC",20,"2","P",-2.45744165757363e-14,684,16.8942857142857,1.17333333333333,6.89333333333333,26,2,3,319.746666666667,0,70.1875,0,0,3.59333333333264,"5",12,0.360272414057153,-561.723333333333
