"app_id","GOOD","BAD","app_date","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"-24",".",".","01JUL2005","0","SB","19","1","","1","500","5","1",".","3","1","13","250","0",".",".","0","0","3","-1"
"-10",".",".","01JUL2005","0","SO","29","2","R","1",".","5","1","89",".",".",".",".","0.0075291667","68.859375","1","0","0","3","1"
"1","0","1","01JUL2005","0","SO","20","1","P","1",".","5","2","0","11","1","10",".","0.0236846933","56.6484375","1","2","647","3","3"
"-15",".",".","01JUL2005","0","SO","16","0","P",".",".",".",".",".",".",".",".",".","0.208693366","65.328125",".","0",".","5","-1"
"-19",".",".","01JUL2005","600","SE","18","0","P",".",".","11","1","80",".","0",".",".","0.5450069867","51.234375","1","1","37","3","2"
"-18",".",".","01JUL2005","0","SF","16","0","P",".",".",".",".",".","0",".","2",".","0.4294992778","59.4765625",".","0",".","5","-1"
"8","1","0","01JUL2005","1","SL","25","4","R",".",".",".",".",".",".",".",".",".","0.0437840207","40.359375",".","0",".","5","-1"
"17","0","1","01JUL2005","0","SA","19","0","P","1","950","2","1","0","0",".",".",".","0.1896084142","51.75",".","0","0","3","3"
"16","1","0","01JUL2005","160","SO","18",".","P",".",".",".",".",".","19",".","13",".","0","95.125",".","0",".","5","-1"
"-9",".",".","01JUL2005","0","SO","20","1","P",".","200","24","5","0","12","6","19",".","0.2268738379","57.515625","2","4","290","1","0"
"21","0","1","01JUL2005","400","SN","20","0","P",".","950","10","2","69","6","3","17",".","0.2584823109","47.71875","1","1","0","3","2"
"2","1","0","01JUL2005","400","SO","22",".","P",".",".","33",".",".","23","4","12",".","0.0497738554","66.875","1","0",".","5","2"
"6","1","0","01JUL2005","0","SO","16",".","P",".",".",".",".",".","13",".","31",".","0","46.1953125",".","0",".","5","-1"
"20","0","1","01JUL2005","0","SD","19","0","P","1",".","3","2","29",".",".",".",".","0.0183322951","9.40625","1","1","0","3","4"
"-12",".",".","01JUL2005","0","SE","21","1","",".","1200","20","2",".",".","3",".",".","0.5236931592","42.6796875","1","1","363","3","0"
"25","1","0","01JUL2005","0","SM","26","99999","H",".","3150","15","1","0",".","0",".","186","0",".",".","0","0","3","-1"
"11","1","0","01JUL2005","2400","SC","45","1","R","1",".","2","2","0",".","7",".",".","0.165088444","66.625","1","1","0","3","-1"
"41","0","1","02JUL2005","0","SO","22","0","P",".",".",".",".",".",".",".",".",".","0",".",".","0",".","4","-1"
"29","1","0","02JUL2005","0","SO","16",".","P",".",".",".",".",".","3",".","3",".","0","51.2734375",".","0",".","5","-1"
"30","0","1","02JUL2005","0","SC","21","1","P","1","3300","4","1","95","23","2","18","248","0.0430592234","69.640625","1","1","2970","3","3"
"40","0","1","02JUL2005","0","SA","20","1","P",".","950","13","2","39","20","1","22",".","0.0830125867","74.921875","1","1","0","3","0"
"43","0","1","02JUL2005","420","SO","21","1","R",".","250","18","2",".","11",".","15","0","0.0473788973","38.234375",".","0","0","3","2"
"-35",".",".","02JUL2005","1","SO","19","2","P","1","200","2","1",".","2","1","5",".","0.0862325833","53.9921875",".","0","0","3","-1"
"38","1","0","02JUL2005","1","SO","21",".","",".",".",".",".",".",".",".",".",".","0","40.21875",".","0",".","5","-1"
"26","0","1","02JUL2005","700","SN","21",".","R","1","500","4",".",".",".","0",".","526","0.031742534","70.828125",".","0",".","5","-1"
"-36",".",".","02JUL2005","500","SL","25",".","R",".",".",".",".",".",".",".",".",".","0.0843504141","40.1796875",".","0",".","5","-1"
"34","0","1","02JUL2005","0","SD","20","1","P",".",".","22","1",".",".",".","3",".","0.325250065","31.40625","2","0","0","3","0"
"-27",".",".","02JUL2005","0","SO","19","1","P","1",".","6","3","0","0","3",".",".","0.0310821186","66.28125","2","2","0","3","1"
"37","1","0","02JUL2005","0","SO","22","3","P",".","950","10","2","0","16","4","16",".","0.1443335731","50.1796875","1","2","2119","3","0"
"-28",".",".","02JUL2005","380","SD","16",".","P",".",".",".",".",".",".",".",".",".","0.8561127037","43.3046875",".","0",".","5","-1"
"-42",".",".","02JUL2005","0","SE","30","0","P",".",".","13","3",".","12",".","21",".","1.03741033","56.625","1","0","0","3","1"
"31","0","1","02JUL2005","0","SC","21","1","P",".",".","11",".","297","4","5","17",".","0.2441240083","55.71875",".","0",".","5","4"
"-60",".",".","05JUL2005","0","SA","19","0","P",".","1450","9",".","25","5","1","7","31","0","86.515625","1","0",".","5","2"
"-79",".",".","05JUL2005","0","SA","20","2","R",".",".","65","1",".",".",".","4",".","0.0639001953","52.6953125",".","0","0","3","-1"
"-83",".",".","05JUL2005","260","SO","19",".","P",".",".",".",".",".","10",".","8",".","0","44.4453125",".","0",".","5","-1"
"-81",".",".","05JUL2005","0","SA","24","0","R",".",".","22","2",".",".","1",".",".","0.0946957718","45.8359375","1","1","0","2","-1"
"65","1","0","05JUL2005","1000","SE","22",".","R",".",".",".",".",".",".",".",".",".","0",".",".","0",".","4","-1"
"86","1","0","05JUL2005","1","SF","22","0","P",".",".","17",".","45","3","4","10",".","0.1748244725","67.03125",".","0",".","5","-1"
"-63",".",".","05JUL2005","1","SD","19","0","P",".",".",".",".",".",".",".","4",".","0","75.859375",".","0",".","5","-1"
"-57",".",".","05JUL2005","0","SO","20","0","P",".",".","19","1","110","6","1","14",".","0.0577998961","47.03125","1","0","0","3","1"
"-88",".",".","05JUL2005","0","SM","19","0","P",".","300","15",".",".","12","3","27",".","0.0482738595","77.671875",".","0",".","5","-1"
"80","1","0","05JUL2005","0","SA","19","1","P",".",".","13","1","40","3","2","12",".","0.0284230103","58.296875",".","0","0","3","-1"
"-55",".",".","05JUL2005","1","SF","20","1","",".","550","6","2","0","15","1","27","0","0.113545652","71.828125","1","2","63","3","-1"
"53","0","1","05JUL2005","0","FT","22",".","",".",".",".",".",".",".",".",".",".","0.0791726275",".",".","0",".","5","-1"
"-47",".",".","05JUL2005","600","SC","22",".","P",".",".",".",".",".",".",".",".",".","0.0453811525","23.234375","1","0",".","5","0"
"-90",".",".","05JUL2005","0","SM","38","4","H",".","950","18","1","0",".","0",".",".","0",".",".","0","0","3","-1"
"85","0","1","05JUL2005","0","SL","19","1","P","1","200","1","1",".","11","0","7","0","0.1267379709","68.09375",".","0","0","3","-1"
"-89",".",".","05JUL2005","0","SO","22","1","P",".","150","14","1","61",".",".","30","0","0","48.7265625","1","1","513","3","-1"
"62","1","0","05JUL2005","1","SO","18",".","P",".",".",".",".",".","11","0","23",".","0.1678808331","58.375",".","0",".","5","-1"
"-51",".",".","05JUL2005","0","SO","20","0","P",".",".","13","1","34","12","3","53",".","0","76.234375","1","0","0","3","0"
"67","1","0","05JUL2005","140","FT","17",".","P",".",".",".",".",".",".",".",".",".","0","67.78125","1","0",".","5","1"
"45","1","0","05JUL2005","1","SC","23","6","R",".","1900","30","1",".",".","0",".","0","0.0776888279","68.328125","1","0","0","3","0"
"-82",".",".","05JUL2005","800","SO","23","0","P","6","1500","5","13",".","17",".","76",".","0","70.03125","5","8","1454","3","0"
"64","1","0","05JUL2005","0","SO","23","4","R",".",".","8",".","0",".","2",".",".","0","59.84375",".","0",".","5","3"
"-56",".",".","05JUL2005","1","SB","20","2","P",".",".","36","1",".",".",".",".",".","0.1601267522","75.828125","2","0","0","3","0"
"74","1","0","05JUL2005","1","SL","17",".","R",".",".",".",".",".",".",".",".",".","0","30.25390625",".","0",".","5","-1"
"-44",".",".","05JUL2005","800","SH","20",".","P",".","50","15","1","1","11",".","11",".","0","47.0078125","1","1","42","3","0"
"61","1","0","05JUL2005","0","SG","20","2","P","1","750","6","1",".","11",".","63","62","0.0065730454","63.9296875","1","1","354","3","2"
"70","0","1","05JUL2005","0","SO","30",".","P",".","950","14","1",".","24","11","37","682","0.0527717074","78.921875",".","0","0","3","-1"
"106","1","0","06JUL2005","1","SL","22","0","P",".","1500","19","1",".","19","6","93","0","0.1978847003","49.640625",".","0","0","3","-1"
"94","0","1","06JUL2005","0","SD","21","0","R",".",".","11",".","635",".",".",".",".","0.0710863429","29.73828125","1","0",".","5","2"
"111","0","1","06JUL2005","1","SD","29","1","H",".","100","83","2",".",".","0",".",".","0.3677603146","63.859375",".","0","0","3","-1"
"-104",".",".","06JUL2005","0","SO","19",".","P",".",".",".",".",".","9","2","4",".","0.1249696335","72.109375",".","0",".","5","-1"
"114","1","0","06JUL2005","0","SO","18",".","P",".",".",".",".",".","12","0","8",".","0","64.421875",".","0",".","5","-1"
"-118",".",".","06JUL2005","500","SO","21",".","R",".",".",".",".",".",".",".",".",".","0.0121719835","52.2890625",".","0",".","5","-1"
"-120",".",".","06JUL2005","120","SB","19",".","P",".",".","9","2",".","13",".","57",".","0","34.359375","1","1","0","1","-1"
"115","0","1","06JUL2005","0","SA","23","0","R",".",".",".",".",".",".",".",".",".","0.1037878948","53.7265625",".","0",".","5","-1"
"116","0","1","06JUL2005","0","SA","21","4","P",".","950","11","2",".","13",".","44","1116","0.0387659803","47.0859375","2","1","1320","3","1"
"-99",".",".","06JUL2005","0","SC","18","0","P",".","100","9","1","0","16","0","28",".","0.2982739927","48.890625","1","1","6","3","3"
"-95",".",".","06JUL2005","0","SE","18",".","P",".",".",".",".",".","18","0","10",".","0","86.953125",".","0",".","5","-1"
"-108",".",".","06JUL2005","400","SB","18",".","P","1",".","1",".","0","4",".","5",".","0.0950659849","35.953125","1","0",".","5","1"
"-101",".",".","06JUL2005","0","SO","23","2","P",".",".","26","1",".","1","2","6",".","0.0755404839","66.71875","1","0","0","3","1"
"96","1","0","06JUL2005","960","SM","46",".","","1","950","3","3",".",".","0","2","805","0","43.2265625","2","0","0","3","1"
"92","1","0","06JUL2005","1","SL","22","4","R",".","350","16",".",".",".","2",".","0","0.0875395227","48.28125",".","0",".","5","-1"
"91","0","1","06JUL2005","0","SB","19","1","R",".",".",".",".",".",".",".",".",".","0.2540849233","71.3125",".","0",".","5","-1"
"-102",".",".","06JUL2005","0","SE","22","5","P","2","3900","3","1","0","12","1","1","0","0.0567737137","62.484375","3","0","0","3","1"
"110","1","0","06JUL2005","0","SO","18",".","P",".",".",".",".",".","26",".","4",".","0.0270535915","50.9765625",".","0",".","5","-1"
"-93",".",".","06JUL2005","0","SA","20","0","R","2",".","3","3","237",".",".",".",".","0.6159624867","45.1015625","3","3","363","3","0"
"-113",".",".","06JUL2005","0","SO","16","0","R",".",".",".",".",".",".",".",".",".","0.2745507667","60.7109375",".","0",".","5","-1"
"117","0","1","06JUL2005","0","SO","28","1","R",".",".",".",".",".",".",".",".",".","0.3383732364","65.84375","1","0",".","5","1"
"119","1","0","06JUL2005","1","SL","19","1","P",".","500","10","2","44","9","0","22","0","0.0994428329","68.78125","2","2","1150","3","0"
"-144",".",".","07JUL2005","0","SA","20",".","R",".",".",".",".",".",".",".",".",".","0","67.53125",".","0",".","5","-1"
"147","1","0","07JUL2005","0","SO","20","1","P",".",".",".",".",".","2",".","15",".","0","9.8125","1","0",".","5","1"
"-154",".",".","07JUL2005","1","SN","34","0","R",".","4150","13","1",".",".","7",".",".","0.1422919775","21.40234375",".","0","0","3","-1"
"-138",".",".","07JUL2005","500","SO","18",".","P","1",".","5",".","40",".",".","13",".","0.1026236699","26.87109375","1","0",".","5","2"
"128","1","0","07JUL2005","0","FT","22",".","",".",".",".",".",".",".",".",".",".","0.0967883989",".",".","0",".","5","-1"
"129","0","1","07JUL2005","0","SO","19","1","P",".",".",".",".",".","16","26","4",".","0","17.1328125",".","0",".","5","-1"
"140","0","1","07JUL2005","1","SC","19","1","P",".",".",".",".",".",".","10","10",".","0.3780874815","28.35546875",".","0",".","5","4"
"141","0","1","07JUL2005","0","SB","22","3","P","1","3450","2","2","25","1","2","11",".","0.1119794536","53.484375","1","2","3809","3","1"
